Device: OSC48xx
DateTime: 2025-05-02 20:46:26
Sample rate: 2.4Msps ,divided by 100

chA
0,093
0,093
0,093
0,186
0,093
0,186
0,093
0,186
0,093
0,186
0,093
0,093
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,093
0,186
0,186
0,093
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,093
0,093
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,093
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,093
0,093
0,093
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,093
0,186
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,186
0,093
0,093
0,186
0,093
0,186
0,186
0,093
0,186
0,093
0,093
0,093
0,093
0,186
0,186
0,093
0,186
0,093
0,186
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,093
0,093
0,093
0,093
0,186
0,093
0,093
0,186
0,093
0,093
0,186
0,093
0,093
0,186
0,093
0,093
0,186
0,093
0,093
0,186
0,186
0,093
0,093
0,186
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,186
0,093
0,093
0,093
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,093
0,186
0,093
0,093
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,093
0,186
0,093
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,093
0,093
0,186
0,093
0,186
0,186
0,093
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,093
0,186
0,093
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,186
0,186
0,093
0,186
0,186
0,093
